#,Security,Ask,Bid,Mid,Chg
31,S 8/25,,,,
32,S N/25,3.991,3.888,3.9395,
33,S 2/26,3.696,3.578,3.637,0.009
34,S 5/26,3.732,3.605,3.6685,0.026
35,S 8/26,3.577,3.505,3.541,-0.006
36,S N/26,3.684,3.606,3.645,-0.001
37,S 2/27,3.595,3.512,3.5535,0.012
38,S 5/27,3.643,3.571,3.607,0.012
39,S 8/27,3.664,3.576,3.62,0.008
40,S N/27,3.646,3.576,3.611,0.008
41,S 2/28,3.633,3.572,3.6025,0.007
42,S 5/28,3.641,3.581,3.611,0.01
43,S 8/28,3.654,3.591,3.6225,0.008
44,S N/28,3.665,3.603,3.634,0.008
45,S 2/29,3.685,3.627,3.656,0.014
46,S 5/29,3.704,3.649,3.6765,0.013
47,S 8/29,3.724,3.667,3.6955,0.013
48,S N/29,3.747,3.688,3.7175,0.01
49,S 2/30,3.717,3.745,3.731,0.013
50,S 5/30,3.801,3.747,3.774,0.012
