#,Security,Ask,Bid,Mid,Chg
51,SP 8/25,,,,
52,SP N/25,,,,
53,SP 2/26,3.832,3.748,3.79,0.028
54,SP 5/26,3.826,3.706,3.766,0.038
55,SP 8/26,3.613,3.525,3.569,0.009
56,SP N/26,3.42,3.306,3.363,0.018
57,SP 2/27,3.396,3.337,3.3665,0.009
58,SP 5/27,3.638,3.547,3.5925,0.01
59,SP 8/27,3.57,3.494,3.532,0.006
60,SP N/27,3.542,3.472,3.507,0.01
61,SP 2/28,3.598,3.519,3.5585,0.011
62,SP 5/28,3.61,3.519,3.5645,0.013
63,SP 8/28,3.541,3.477,3.509,0.01
64,SP N/28,3.6,3.55,3.575,0.01
65,SP 2/29,3.514,3.462,3.488,0.01
66,SP 5/29,3.626,3.566,3.596,0.003
67,SP 8/29,3.633,3.584,3.6085,0.016
68,SP N/29,3.615,3.565,3.59,0.018
69,SP 2/30,3.666,3.596,3.631,0.011
70,SP 5/30,3.697,3.633,3.665,0.014
