
S&P 500 INDEX,Last: 4549.9102,Change:  -0.5198
"Date: November 28, 2023 at 3:34 PM EST",Bid: 4549.3701,Ask: 4550.6001,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Nov 28 2023,SPXW231128C01200000,3354.1,0,3350.1,3350.6,0,0,1,0,12,1200.00,SPXW231128P01200000,0.03,0,0,0.05,0,0,0,0,2
Tue Nov 28 2023,SPXW231128C01400000,0,0,3150.1,3150.6,0,0,1,0,0,1400.00,SPXW231128P01400000,0,0,0,0.05,0,0,0,0,0
Tue Nov 28 2023,SPXW231128C01600000,0,0,2950.1,2950.6,0,0,1,0,0,1600.00,SPXW231128P01600000,0,0,0,0.05,0,0,0,0,0
Tue Nov 28 2023,SPXW231128C01800000,0,0,2750.1,2750.6,0,0,1,0,0,1800.00,SPXW231128P01800000,0.15,0,0,0.05,0,0,0,0,4
Tue Nov 28 2023,SPXW231128C02000000,0,0,2550.1,2550.6,0,0,1,0,0,2000.00,SPXW231128P02000000,0.05,0,0,0.05,0,0,0,0,8
Tue Nov 28 2023,SPXW231128C02200000,2335.94,0,2350.1,2350.6,0,0,1,0,1,2200.00,SPXW231128P02200000,0.03,0,0,0.05,0,0,0,0,4
Tue Nov 28 2023,SPXW231128C02400000,0,0,2150.1,2150.6,0,0,1,0,0,2400.00,SPXW231128P02400000,0.05,0,0,0.05,0,0,0,0,37
Tue Nov 28 2023,SPXW231128C02600000,0,0,1950.1,1950.6,0,0,1,0,0,2600.00,SPXW231128P02600000,0.05,0,0,0.05,0,0,0,0,20
Tue Nov 28 2023,SPXW231128C02800000,0,0,1750.1,1750.6,0,0,0.9999,0,0,2800.00,SPXW231128P02800000,0.05,0,0,0.05,0,0,-0.0001,0,157
Tue Nov 28 2023,SPXW231128C03000000,1384.7,0,1550.1,1550.6,0,0,0.9999,0,0,3000.00,SPXW231128P03000000,0.05,0,0,0.05,0,0,-0.0001,0,180
Tue Nov 28 2023,SPXW231128C03200000,0,0,1350.1,1350.6,0,0,0.9999,0,0,3200.00,SPXW231128P03200000,0.05,0,0,0.05,0,0,-0.0001,0,305
Tue Nov 28 2023,SPXW231128C03300000,0,0,1250.1,1250.6,0,0,0.9999,0,0,3300.00,SPXW231128P03300000,0.05,0,0,0.05,0,0,-0.0001,0,625
Tue Nov 28 2023,SPXW231128C03350000,0,0,1200.1,1200.6,0,0,0.9999,0,0,3350.00,SPXW231128P03350000,0.05,0,0,0.05,0,0,-0.0001,0,279
Tue Nov 28 2023,SPXW231128C03400000,0,0,1150.1,1150.6,0,0,0.9998,0,0,3400.00,SPXW231128P03400000,0.05,0,0,0.05,0,0,-0.0001,0,642
Tue Nov 28 2023,SPXW231128C03450000,0,0,1100.1,1100.6,0,0,0.9998,0,0,3450.00,SPXW231128P03450000,0.05,0,0,0.05,0,0,-0.0002,0,514
Tue Nov 28 2023,SPXW231128C03500000,0,0,1050.1,1050.6,0,0,0.9998,0,0,3500.00,SPXW231128P03500000,0.05,0,0,0.05,0,0,-0.0002,0,285
Tue Nov 28 2023,SPXW231128C03550000,0,0,1000.1,1000.6,0,0,0.9998,0,1,3550.00,SPXW231128P03550000,0.05,0,0,0.05,0,8.1712,-0.0002,0,155
Tue Nov 28 2023,SPXW231128C03600000,0,0,950.1,950.6,0,8.1113,0.9998,0,3,3600.00,SPXW231128P03600000,0.05,0,0,0.05,0,7.7381,-0.0002,0,8404
Tue Nov 28 2023,SPXW231128C03650000,0,0,900.1,900.6,0,7.6602,0.9998,0,3,3650.00,SPXW231128P03650000,0.1,0,0,0.05,0,7.3098,-0.0002,0,1435
Tue Nov 28 2023,SPXW231128C03700000,523.45,0,850.1,850.6,0,7.2142,0.9998,0,3,3700.00,SPXW231128P03700000,0.05,0,0,0.05,0,6.8861,-0.0002,0,6191
Tue Nov 28 2023,SPXW231128C03750000,0,0,800.1,800.6,0,6.7731,0.9997,0,0,3750.00,SPXW231128P03750000,0.05,0,0,0.05,0,6.4668,-0.0003,0,4634
Tue Nov 28 2023,SPXW231128C03800000,0,0,750.1,750.6,0,6.3368,0.9997,0,0,3800.00,SPXW231128P03800000,0.05,0,0,0.05,0,6.0517,-0.0003,0,2913
Tue Nov 28 2023,SPXW231128C03850000,341.73,0,700.1,700.6,0,5.9048,0.9997,0,5,3850.00,SPXW231128P03850000,0.05,0,0,0.05,0,5.6405,-0.0003,0,804
Tue Nov 28 2023,SPXW231128C03875000,0,0,675.1,675.6,0,5.6904,0.9997,0,0,3875.00,SPXW231128P03875000,0.05,0,0,0.05,0,5.4363,-0.0003,0,68
Tue Nov 28 2023,SPXW231128C03900000,0,0,650.1,650.6,0,5.477,0.9996,0,0,3900.00,SPXW231128P03900000,0.05,0,0,0.05,0,5.2329,-0.0004,0,512
Tue Nov 28 2023,SPXW231128C03925000,306.45,0,625.1,625.6,0,5.2646,0.9996,0,1,3925.00,SPXW231128P03925000,0.1,0,0,0.05,0,5.0305,-0.0004,0,69
Tue Nov 28 2023,SPXW231128C03950000,0,0,600.1,600.6,0,5.0531,0.9996,0,0,3950.00,SPXW231128P03950000,0.08,0,0,0.05,0,4.8288,-0.0004,0,798
